Chrom.1		
UV		
ml	mAU	
0.813	-0.5871286	
0.814	-0.5873955	
0.815	-0.5874779	
0.816	-0.5884885	
0.816	-0.5888975	
0.817	-0.59196	
0.818	-0.5936893	
0.819	-0.5948412	
0.82	-0.5952159	
0.821	-0.5953131	
0.821	-0.5967426	
0.822	-0.5977051	
0.823	-0.5975807	
0.824	-0.5979102	
0.825	-0.5989323	
0.826	-0.5987906	
0.826	-0.60017	
0.827	-0.6019168	
0.828	-0.6021317	
0.829	-0.6018461	
0.83	-0.6029161	
0.831	-0.6034353	
0.831	-0.6036878	
0.832	-0.6046217	
0.833	-0.606312	
0.834	-0.6073266	
0.835	-0.6057475	
0.836	-0.6066937	
0.836	-0.6071279	
0.837	-0.6071504	
0.838	-0.6071621	
0.839	-0.607279	
0.84	-0.6074881	
0.84	-0.6093233	
0.841	-0.6111633	
0.842	-0.6117918	
0.843	-0.6132798	
0.844	-0.6154442	
0.845	-0.6168268	
0.845	-0.6181014	
0.846	-0.6197155	
0.847	-0.62082	
0.848	-0.6208419	
0.849	-0.6216671	
0.85	-0.6225218	
0.85	-0.6233497	
0.851	-0.6249626	
0.852	-0.626011	
0.853	-0.626757	
0.854	-0.6271338	
0.855	-0.6277338	
0.855	-0.629112	
0.856	-0.6303464	
0.857	-0.6306191	
0.858	-0.6306329	
0.859	-0.6311035	
0.86	-0.6323981	
0.86	-0.6346024	
0.861	-0.634986	
0.862	-0.6351542	
0.863	-0.6355274	
0.864	-0.63572	
0.865	-0.6361088	
0.865	-0.6364085	
0.866	-0.6379833	
0.867	-0.6389031	
0.868	-0.6398191	
0.869	-0.6412367	
0.869	-0.6415728	
0.87	-0.6430774	
0.871	-0.6445106	
0.872	-0.6448039	
0.873	-0.646221	
0.874	-0.64824	
0.874	-0.6499586	
0.875	-0.6520328	
0.876	-0.6543016	
0.877	-0.6545004	
0.878	-0.6551653	
0.879	-0.6571218	
0.879	-0.6574767	
0.88	-0.6572107	
0.881	-0.6563443	
0.882	-0.6566908	
0.883	-0.6576874	
0.884	-0.6590148	
0.884	-0.6594967	
0.885	-0.6596507	
0.886	-0.6615291	
0.887	-0.6625695	
0.888	-0.6636452	
0.889	-0.6649868	
0.889	-0.6661251	
0.89	-0.6669601	
0.891	-0.6672739	
0.892	-0.6674191	
0.893	-0.6674984	
0.894	-0.6682039	
0.894	-0.6685292	
0.895	-0.668241	
0.896	-0.6680066	
0.897	-0.6666795	
0.898	-0.6680089	
0.899	-0.6696312	
0.899	-0.6692224	
0.9	-0.6710002	
0.901	-0.672092	
0.902	-0.6726182	
0.903	-0.673774	
0.903	-0.6743405	
0.904	-0.6756752	
0.905	-0.6766412	
0.906	-0.6783506	
0.907	-0.678501	
0.908	-0.6771332	
0.908	-0.6755806	
0.909	-0.6747249	
0.91	-0.6736159	
0.911	-0.6736407	
0.912	-0.6758456	
0.913	-0.6766331	
0.913	-0.6765649	
0.914	-0.6759271	
0.915	-0.6763228	
0.916	-0.6775317	
0.917	-0.6794183	
0.918	-0.6800504	
0.918	-0.6804333	
0.919	-0.6811857	
0.92	-0.6828914	
0.921	-0.681514	
0.922	-0.6817241	
0.923	-0.6835282	
0.923	-0.6847026	
0.924	-0.6845797	
0.925	-0.6852131	
0.926	-0.685857	
0.927	-0.6868547	
0.928	-0.6877303	
0.928	-0.6901156	
0.929	-0.6920316	
0.93	-0.6937287	
0.931	-0.6963615	
0.932	-0.6970269	
0.932	-0.6989032	
0.933	-0.7002676	
0.934	-0.7016151	
0.935	-0.7037143	
0.936	-0.7052351	
0.937	-0.7061737	
0.937	-0.7073411	
0.938	-0.7088704	
0.939	-0.7105165	
0.94	-0.7131571	
0.941	-0.7140345	
0.942	-0.7168552	
0.942	-0.7178605	
0.943	-0.719263	
0.944	-0.7198147	
0.945	-0.7205221	
0.946	-0.7201019	
0.947	-0.7212258	
0.947	-0.7208349	
0.948	-0.720735	
0.949	-0.7205207	
0.95	-0.7211816	
0.951	-0.722168	
0.952	-0.7222912	
0.952	-0.7221555	
0.953	-0.7201667	
0.954	-0.7208351	
0.955	-0.7217005	
0.956	-0.7212592	
0.957	-0.7220338	
0.957	-0.7229352	
0.958	-0.723088	
0.959	-0.7235934	
0.96	-0.7232379	
0.961	-0.7232074	
0.962	-0.7242354	
0.962	-0.7238752	
0.963	-0.7272334	
0.964	-0.7279605	
0.965	-0.7287121	
0.966	-0.7288157	
0.966	-0.7326626	
0.967	-0.7332469	
0.968	-0.7347518	
0.969	-0.7367532	
0.97	-0.7369981	
0.971	-0.7367647	
0.971	-0.7367503	
0.972	-0.7354723	
0.973	-0.737322	
0.974	-0.7385149	
0.975	-0.7389438	
0.976	-0.739202	
