Chrom.1		
UV		
ml	mAU	
0.771	-0.482373	
0.772	-0.4823044	
0.773	-0.4831892	
0.773	-0.4844416	
0.774	-0.4859836	
0.775	-0.4874565	
0.776	-0.4889078	
0.777	-0.4889118	
0.778	-0.4910631	
0.778	-0.4911283	
0.779	-0.4897835	
0.78	-0.4890733	
0.781	-0.4878073	
0.782	-0.4879149	
0.783	-0.4868076	
0.783	-0.4858359	
0.784	-0.4858973	
0.785	-0.488791	
0.786	-0.4899638	
0.787	-0.4907796	
0.788	-0.4909218	
0.788	-0.4915851	
0.789	-0.4906977	
0.79	-0.4914477	
0.791	-0.4905597	
0.792	-0.4912257	
0.793	-0.4915861	
0.793	-0.4922654	
0.794	-0.4931128	
0.795	-0.4934296	
0.796	-0.4935988	
0.797	-0.4944413	
0.798	-0.4944053	
0.798	-0.4941529	
0.799	-0.4957795	
0.8	-0.497067	
0.801	-0.4991609	
0.802	-0.4996521	
0.803	-0.500948	
0.803	-0.5031137	
0.804	-0.5058628	
0.805	-0.5064851	
0.806	-0.5057541	
0.807	-0.5059111	
0.808	-0.5061598	
0.808	-0.5065508	
0.809	-0.5057843	
0.81	-0.5068116	
0.811	-0.5079781	
0.812	-0.5104085	
0.813	-0.5112926	
0.813	-0.5138698	
0.814	-0.5157685	
0.815	-0.5164692	
0.816	-0.516622	
0.817	-0.5177552	
0.818	-0.5183488	
0.818	-0.5216019	
0.819	-0.5229563	
0.82	-0.5230064	
0.821	-0.5232397	
0.822	-0.5237794	
0.823	-0.5242858	
0.823	-0.5241243	
0.824	-0.5241544	
0.825	-0.5236812	
0.826	-0.5246253	
0.827	-0.5254931	
0.828	-0.525653	
0.828	-0.5260186	
0.829	-0.5258983	
0.83	-0.5268847	
0.831	-0.5281488	
0.832	-0.5270261	
0.833	-0.5276964	
0.833	-0.5286126	
0.834	-0.5274816	
0.835	-0.527602	
0.836	-0.5264255	
0.837	-0.5284774	
0.838	-0.529269	
0.838	-0.5305492	
0.839	-0.5288038	
0.84	-0.5286928	
0.841	-0.5284752	
0.842	-0.5293036	
0.843	-0.5302911	
0.843	-0.5336378	
0.844	-0.5354656	
0.845	-0.5360969	
0.846	-0.537786	
0.847	-0.5378362	
0.848	-0.5380089	
0.848	-0.539576	
0.849	-0.540259	
0.85	-0.5407934	
0.851	-0.5403186	
0.852	-0.5407921	
0.853	-0.5433041	
0.853	-0.5448915	
0.854	-0.5463581	
0.855	-0.5485209	
0.856	-0.5491688	
0.857	-0.5510933	
0.858	-0.5509967	
0.858	-0.5507779	
0.859	-0.5504639	
0.86	-0.5504391	
0.861	-0.5507925	
0.862	-0.552691	
0.863	-0.5528672	
0.863	-0.552447	
0.864	-0.5502195	
0.865	-0.5489995	
0.866	-0.5477732	
0.867	-0.5480942	
0.868	-0.5477276	
0.868	-0.5474504	
0.869	-0.5467219	
0.87	-0.5468848	
0.871	-0.5473857	
0.872	-0.5485985	
0.873	-0.549059	
0.873	-0.5479355	
0.874	-0.5458663	
0.875	-0.5466481	
0.876	-0.5469143	
0.877	-0.5476846	
0.878	-0.5478871	
0.878	-0.5487341	
0.879	-0.5499279	
0.88	-0.5508658	
0.881	-0.5520285	
0.882	-0.5519375	
0.883	-0.5512536	
0.883	-0.5524465	
0.884	-0.5533557	
0.885	-0.555492	
0.886	-0.5575485	
0.887	-0.5599173	
0.888	-0.5603067	
0.888	-0.5622865	
0.889	-0.5631842	
0.89	-0.5645173	
0.891	-0.5656412	
0.892	-0.5663206	
0.893	-0.5670711	
0.893	-0.5671374	
0.894	-0.5679805	
0.895	-0.5701337	
0.896	-0.5699264	
0.897	-0.5702637	
0.898	-0.5697919	
0.898	-0.570608	
0.899	-0.5706428	
0.9	-0.5703638	
0.901	-0.5704573	
0.902	-0.5724497	
0.903	-0.5737202	
0.903	-0.5739338	
0.904	-0.5741727	
0.905	-0.5742854	
0.906	-0.5737063	
0.907	-0.5747837	
0.908	-0.5765761	
0.908	-0.5761076	
0.909	-0.5759834	
0.91	-0.5775963	
0.911	-0.5786376	
0.912	-0.5792762	
0.913	-0.5792711	
0.913	-0.5796483	
0.914	-0.5797901	
0.915	-0.58058	
0.916	-0.5808686	
0.917	-0.5812443	
